iter	Passed	Remaining
0	183	183628
1	235	117468
2	283	94106
3	337	84011
4	382	76202
5	429	71205
6	484	68726
7	538	66724
8	583	64293
9	630	62463
10	685	61654
11	734	60459
12	779	59186
13	828	58321
14	885	58122
15	941	57892
16	985	56987
17	1034	56460
18	1088	56212
19	1133	55555
20	1190	55491
21	1239	55112
22	1290	54818
23	1353	55043
24	1414	55173
25	1462	54801
26	1515	54605
27	1569	54496
28	1624	54398
29	1674	54152
30	1732	54159
31	1780	53856
32	1825	53485
33	1883	53505
34	1926	53129
35	1979	53010
36	2025	52719
37	2083	52750
38	2126	52397
39	2176	52226
40	2225	52053
41	2273	51847
42	2321	51668
43	2369	51490
44	2415	51262
45	2468	51188
46	2518	51070
47	2567	50927
48	2624	50928
49	2672	50784
50	2726	50737
51	2774	50579
52	2827	50515
53	2875	50377
54	2931	50365
55	2985	50333
56	3029	50127
57	3075	49952
58	3134	49987
59	3181	49839
60	3226	49659
61	3274	49535
62	3317	49347
63	3364	49203
64	3433	49386
65	3476	49201
66	3521	49042
67	3567	48889
68	3619	48842
69	3666	48714
70	3716	48634
71	3766	48540
72	3810	48383
73	3856	48261
74	3901	48122
75	3946	47985
76	3996	47906
77	4042	47787
78	4091	47696
79	4142	47640
80	4185	47488
81	4235	47414
82	4279	47284
83	4332	47248
84	4382	47180
85	4427	47058
86	4479	47014
87	4531	46965
88	4580	46885
89	4627	46789
90	4673	46686
91	4729	46674
92	4781	46629
93	4825	46513
94	4872	46413
95	4936	46485
96	4981	46371
97	5034	46338
98	5084	46274
99	5135	46215
100	5186	46161
101	5233	46078
102	5283	46011
103	5339	46001
104	5384	45896
105	5430	45801
106	5475	45698
107	5532	45697
108	5583	45637
109	5628	45543
110	5674	45448
111	5719	45350
112	5764	45251
113	5818	45218
114	5870	45174
115	5915	45083
116	5968	45045
117	6013	44949
118	6064	44900
119	6109	44806
120	6160	44754
121	6210	44692
122	6259	44628
123	6304	44537
124	6347	44433
125	6394	44352
126	6443	44290
127	6498	44268
128	6544	44187
129	6597	44150
130	6644	44078
131	6689	43989
132	6742	43954
133	6795	43918
134	6845	43860
135	6890	43775
136	6943	43739
137	6991	43668
138	7035	43581
139	7079	43489
140	7132	43452
141	7178	43376
142	7223	43288
143	7273	43239
144	7326	43203
145	7371	43118
146	7423	43076
147	7466	42985
148	7515	42923
149	7558	42833
150	7611	42793
151	7659	42730
152	7718	42730
153	7766	42667
154	7812	42592
155	7861	42532
156	7911	42478
157	7954	42390
158	8000	42319
159	8057	42304
